投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4
上汽大众,途岳,2019款 280TSI 两驱 舒适版 国VI,上汽大众途岳发动机拉缸4S店不予质保,发动机,拉缸,
上汽大众,途观,2016款 280TSI 自动 两驱 丝绸之路舒适版,上汽大众途观右前方大灯后移希望厂家处理,车身附件及电器,灯罩裂纹或变形,
广汽乘用车,传祺GA6,2016款 235T DCT 豪华版,广汽传祺GA6三元催化器故障希望厂家处理,发动机,故障灯亮,三元催化器故障
吉利汽车,缤瑞,2021款 1.4T CVT 亚运版,吉利缤瑞行驶过程中方向盘有抖动的现象,转向系统,抖动,
广汽本田,缤智,2017款 1.5L CVT 两驱 舒适型,广汽本田缤智冷车启动时发动机异响,发动机,异响,
奇瑞汽车,艾瑞泽5,2019款 1.5L 手动 新青春版 国V,奇瑞艾瑞泽GX行驶时车内噪音大显示屏黑屏,车身附件及电器,影音系统故障,门窗漏风
广汽乘用车,传祺GS5,2019款 270T 自动 豪华版,广汽传祺GS5车门生锈而且有漏水的现象,车身附件及电器,车身生锈,车身漏水
星途,星途LX,2019款 1.6T DCT 星睿版,星途LX电瓶亏电导致发动机无法启动,车身附件及电器,电瓶故障,
上汽大众,途昂,2017款 530 V6 四驱 旗舰版,上汽大众途昂冷却系统故障4S店不予索赔,发动机,冷却系统故障,服务态度
一汽吉林,森雅R9,2018款 1.2T 手动 尊贵智悦型,一汽吉林森雅R9中控屏幕黑屏车窗异响,车身附件及电器,影音系统故障,门窗异响
一汽-大众,宝来,2019款 改款 280TSI DSG 精英型 国VI,一汽大众宝来发动机烧机油 变速箱倒挡异响,发动机,烧机油,异响
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风悦达起亚,起亚KX5,2019款 1.6T 自动 两驱 豪华版,东风悦达起亚KX5 4S店销售维修过的问题车,,销售欺诈,
东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机抖动加速无力烧机油,发动机,抖动,故障灯亮
一汽丰田,皇冠,2005款 3.0 E 真皮版,一汽丰田皇冠仪表台开裂存在质量问题,车身附件及电器,仪表台开裂,
东风雪铁龙,C4世嘉,2018款 1.6L 自动 豪华型,东风雪铁龙C4世嘉A柱处有漏水的现象,车身附件及电器,车身漏水,
东风乘用车,风神AX7,2018款 1.6T 自动 精英型,东风风神AX7减震器漏油 车门无法关闭,前后桥及悬挂系统,减震器漏油,车门故障
长安福特,锐际,2020款 EcoBoost 245 两驱 耀享款,长安福特锐际4S店未经允许私自维修车辆,,服务流程不完善,
华晨中华,中华H230EV,2017款 舒适型,中华H230EV发动机无法启动一直未维修,发动机,无法启动,
长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7发动机抖动变速箱异响车门异响,发动机,抖动,异响
一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉行驶时变速箱顿挫异响,变速器,异响,顿挫
广汽本田,飞度,2016款 1.5L LXS CVT 舒适天窗版,广汽本田飞度冷车启动时发动机异响,发动机,异响,
长城汽车,WEY P8,2018款 2.0T 旗舰型,WEY P8高速失速发动机抖动无法提速,发动机,抖动,无法加速
东风悦达起亚,焕驰,2019款 1.4L 手动 智享版Value 国VI,东风悦达起亚焕驰离合总泵漏油大灯忽明忽暗,离合器,漏油,车灯不亮
沃尔沃亚太,沃尔沃XC40,2021款 T4 四驱 智远运动版,亚太沃尔沃XC40事故维修售后使用非原厂件,,配件争议,
长安福特,探险者,2020款 EcoBoost 285 四驱 铂金版 6座,长安福特探险者行驶中汽油箱异响,车身附件及电器,汽油箱异响,
东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408更换正时皮带后发动机烧机油,发动机,烧机油,
一汽丰田,奕泽IZOA,2018款 2.0L 奕驰版 国VI,一汽丰田奕泽IZOA起步时发动机熄火,发动机,故障灯亮,熄火
吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越仪表进灰售后维修未解决问题,车身附件及电器,仪表故障,
一汽-大众,高尔夫,2015款 1.4TSI 自动 豪华型,一汽大众高尔夫车内异味希望厂家处理问题,车身附件及电器,车内异味,
长城汽车,哈弗H7,2017款 2.0T 尊贵型 红标 H7,哈弗H7车门异响天窗漏水机油乳化严重,发动机,抖动,油耗高
吉利汽车,帝豪GS,2018款 1.8L 自动 优雅版 领尚型,吉利帝豪GS变速箱换挡时异响希望厂家处理,发动机,动力消失,异响
北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动车门生锈希望厂家处理问题,车身附件及电器,车身生锈,
一汽-大众奥迪,奥迪A3,2014款 Sportback 1.4T 双离合 时尚型,一汽大众奥迪A3变速箱抖动无法挂挡,变速器,无法换挡,抖动
奔驰（进口）,奔驰GLE,2021款 GLE 450 4MATIC 时尚型,进口奔驰GLE无法启动存在质量问题,发动机,无法启动,
广汽丰田,YARiS L 致炫,2021款 致炫X 1.5L CVT 领先版,广汽丰田YARiSL致炫4S店诱导消费欺骗客户,,服务收费,服务收费
东风本田,本田CR-V,2021款 240TURBO CVT 两驱 舒适版,东风本田CR-V低速收油门变速箱异响,变速器,异响,
上汽大众,Polo,2014款 1.6L 自动 豪华型,上汽大众Polo变速箱顿挫无法升挡,变速器,顿挫,无法换挡
东风本田,INSPIRE,2019款 锐·混动 2.0L 净雅版 国V,东风本田INSPIRE原地转向异响希望厂家处理,转向系统,异响,
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽丰田,雷凌,2018款 185T CVT 尊贵版 国V,广汽丰田雷凌转向和底盘异响防尘套破损进水,转向系统,异响,底盘异响
广汽本田,飞度,2016款 1.5L LXS CVT 舒适天窗版,广汽本田飞度变速箱漏油存在质量问题,变速器,漏油,
一汽-大众,高尔夫,2016款 1.6L  自动 舒适型,一汽大众高尔夫变速箱故障灯亮存在质量问题,变速器,故障灯亮,挡把总成故障
华晨宝马,宝马3系,2021款 325Li M运动套装,华晨宝马3系购车缴纳定金经销商未退还,,服务收费,
上汽大众,桑塔纳,2017款 1.6L 自动 舒适型 Cross,上汽大众桑塔纳定速巡航按键失灵影响使用,车身附件及电器,行车安全辅助系统故障,
一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L四个轮毂有氧化的现象,车身附件及电器,轮毂问题,
众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700变速箱抖动 倒挡无法加速,变速器,抖动,无法加速
上汽集团,荣威RX3,2020款 1.6L CVT 4G互联超爽旗舰版,荣威RX3变速箱油泵异响4S店处理方案不合理,变速器,异响,
东风日产,轩逸,2014款 1.6L XV CVT 尊享版,东风日产轩逸变速箱阀体故障导致故障灯亮,变速器,故障灯亮,滑阀箱故障
广汽本田,雅阁,2018款 260TURBO 豪华版 国VI,广汽本田雅阁胎压监测报警要求退换车,车身附件及电器,胎压监测故障,
广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度冷车启动发动机存在异响,发动机,异响,
华晨宝马,宝马3系,2019款 320Li M运动套装,华晨宝马3系倍耐力轮胎凹凸不平导致噪音大,轮胎,胎面变形,
一汽-大众奥迪,奥迪A3,2014款 Sportback 1.4T 双离合 时尚型,一汽大众奥迪A3变速箱机电单元故障,变速器,电脑板故障,
比亚迪,比亚迪e2,2019款 高续航版 耀·豪华型,比亚迪e2续航里程不足希望尽快处理,车身附件及电器,续航里程不准,
广汽本田,皓影,2021款 锐·混动 2.0L 两驱 锐·尊贵版,广汽本田皓影机油增多乳化希望处理,发动机,机油乳化,
江淮汽车,江淮iEV6E,2017款 iEV6E,江淮iEV6E车辆稳压器故障导致无法行驶,车身附件及电器,充电故障,
华晨宝马,宝马3系,2020款 改款 325Li M运动套装,华晨宝马3系火花塞有机油渗漏 刹车异常磨损,发动机,漏油,异常磨损
一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 智尚版 国V,一汽丰田RAV4荣放前雾灯不亮厂家不处理,车身附件及电器,车灯不亮,
东风本田,本田CR-V,2019款 锐·混动 2.0L 两驱 净驰版 国VI,东风本田CR-V吃胎偏磨影响安全行驶,前后桥及悬挂系统,吃胎偏磨,
一汽丰田,威驰,2019款 1.5L CVT 畅行版,一汽丰田威驰中控台异响 安全气囊盖松动,车身附件及电器,中控台异响,
北京现代,胜达,2020款 380 TGDi DLX 自动 两驱 PLUS 智尊版 PLUS,北京现代胜达车辆置换补贴一直未兑现,,承诺不兑现,
一汽-大众奥迪,奥迪A4L,2018款 2.0T 进取型 30周年年型,一汽大众奥迪A4L车灯进水影响夜间照明,车身附件及电器,车灯进水,
奇瑞汽车,瑞虎5x,2017款 1.5T 手动 豪华型,奇瑞瑞虎5x发动机怠速异响希望得到处理,发动机,异响,异响
沃尔沃亚太,沃尔沃S60,2021款 T4 智远豪华版,沃尔沃亚太S60新车漏电导致无法启动,车身附件及电器,电路故障,
沃尔沃（进口）,沃尔沃XC90,2020款 改款 T6 智逸豪华版 7座,进口沃尔沃XC90安全气囊触发阀值偏低,车身附件及电器,气囊故障,
一汽奔腾,奔腾T77,2019款 230 TID 自动 尊贵型 国V,一汽奔腾T77中控无故黑屏希望尽快处理,车身附件及电器,影音系统故障,
一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放车内多处异响影响驾驶,车身附件及电器,车内异响,
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽丰田,皇冠,2006款 2.5L 真皮版,一汽丰田皇冠烧机油方向机缺陷刹车泵生锈,发动机,烧机油,生锈
一汽吉林,森雅R7,2016款 1.6L 自动 尊贵型,一汽吉林森雅R7方向盘卡顿影响安全,转向系统,卡滞,
一汽-大众奥迪,奥迪Q5L,2020款 改款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L车机无法登录希望处理,车身附件及电器,车载互联故障,
东风风行,风行T5,2018款 300T DCT 智慧型,东风风行T5多个故障灯报警无法行驶,车身附件及电器,电路故障,
东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客轮毂氧化严重影响美观,车身附件及电器,轮毂问题,
一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉转向系统异响影响安全,转向系统,异响,
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A4L空调异味希望尽快处理,车身附件及电器,空调异味,
一汽丰田,亚洲龙,2019款 双擎 2.5L XLE 尊贵版 国Ⅵ,一汽丰田亚洲龙发动机机油增多一直未解决,发动机,机油增多,
东风悦达起亚,KX3傲跑,2020款 1.5L CVT 潮流版,东风悦达起亚KX3傲跑镀铬装饰条生锈,车身附件及电器,车身生锈,
长安福特,锐际,2020款 EcoBoost 245 四驱 悦享款,长安福特锐际副驾驶护板减配存在安全隐患,,其他,
广汽本田,皓影,2020款 240TURBO CVT 四驱 尊享版,广汽本田皓影机油增多要求尽快解决,发动机,机油增多,
吉利汽车,帝豪GS,2019款 1.4T CVT 雅,吉利帝豪GS经销商操作不规范 维修技术差,,人员技术,人员技术
广汽丰田,凯美瑞,2008款 240G 2.4 自动 豪华版,广汽丰田凯美瑞仪表台出油希望更换,车身附件及电器,仪表台开裂,
一汽-大众捷达,捷达VS7,2020款 1.4T 自动 悦享型,捷达VS7低速加速时发动机抖动加速无力,发动机,抖动,功率不足
北京奔驰,奔驰GLC,2019款 GLC 260 L 4MATIC 动感型,北京奔驰GLC发动机缸体破损经销商无配件,发动机,缸体破损,配件争议
东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机抖动烧机油严重,发动机,抖动,烧机油
奇瑞汽车,捷途X70 PLUS,2021款 1.6T DCT 地 7座,捷途X70 PLUS方向盘和车身异响明显,转向系统,异响,车身异响
吉利汽车,熊猫,2009款 1.3L 手动 灵动版,吉利熊猫助力泵故障导致转向沉重,转向系统,助力泵故障,
上汽大众斯柯达,昊锐,2009款 1.8TSI 自动 智雅版,斯柯达昊锐车内异味严重影响身体健康,车身附件及电器,车内异味,
长安福特,翼虎,2015款 1.5L GTDi 四驱精英型 5座,长安福特翼虎发动机高压油泵损坏发动机拉缸,发动机,拉缸,
广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念豪华版,广汽丰田凯美瑞半轴防尘套出现漏油,前后桥及悬挂系统,半轴渗油,
广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国V,广汽本田雅阁后轮吃胎维修无法解决,前后桥及悬挂系统,吃胎偏磨,
吉利汽车,远景X3,2020款 1.5L CVT 尊贵型,吉利远景X3多次出现无法启动现象,发动机,无法启动,
长安福特,蒙迪欧,2013款 1.5T 自动 GTDi180时尚型,长安福特蒙迪欧发动机节气门积存大量机油,发动机,漏油,
特斯拉中国,Model 3,2020款 改款 长续航 后轮驱动版,特斯拉Model 3试驾车无法买延保与宣传不符,,销售欺诈,
上汽大众,凌渡,2015款 280TSI DSG 豪华版,上汽大众凌渡车内严重异味无法解决,车身附件及电器,车内异味,
东风本田,本田CR-V,2018款 1.5T CVT 两驱 舒适版,东风本田CR-V发动机线路损坏导致熄火,车身附件及电器,电路故障,服务态度
广汽本田,雅阁,2015款 3.0L VTI 尊贵版,广汽本田雅阁变速箱加速异响希望厂家解决,变速器,异响,
广汽本田,雅阁,2015款 3.0L VTI 尊贵版,广汽本田雅阁变速箱加速异响希望厂家解决,变速器,异响,
广汽本田,雅阁,2015款 3.0L VTI 尊贵版,广汽本田雅阁变速箱加速异响希望厂家解决,变速器,异响,
广汽本田,雅阁,2015款 3.0L VTI 尊贵版,广汽本田雅阁变速箱加速异响希望厂家解决,变速器,异响,
广汽本田,雅阁,2015款 3.0L VTI 尊贵版,广汽本田雅阁变速箱加速异响希望厂家解决,变速器,异响,
广汽本田,雅阁,2015款 3.0L VTI 尊贵版,广汽本田雅阁变速箱加速异响希望厂家解决,变速器,异响,
广汽本田,雅阁,2015款 3.0L VTI 尊贵版,广汽本田雅阁变速箱加速异响希望厂家解决,变速器,异响,
